Name,Class,%
EMERGING MARKETS STK,Intl stocks,1.0
VANG TOT INTL STK TR,Intl stocks,1.0
IBONDS,U.S. bonds,1.0
Bond Core Plus R1,U.S. bonds,1.0
Bond Core Plus Fund R1,U.S. bonds,1.0
Bond Index R1,U.S. bonds,1.0
Large-Cap Index Equity R1,U.S. stocks,1.0
UC BOND FUND,U.S. bonds,1.0
UC TIPS FUND,U.S. bonds,1.0
VANG TOTAL BOND MKT,U.S. bonds,1.0
VANG 500 INDEX TRUST,U.S. stocks,1.0
Health Savings Account (HSA),Cash,1.0
UC TIPS FUND,U.S. bonds,1.0
UC BOND FUND,U.S. bonds,1.0
VANGUARD TTL INTL BD ETF,U.S. bonds,1.0
VANGUARD TOTAL INTL BOND INDEX ETF,Intl bonds,1.0
VANGUARD TOTAL INTL BOND INDEX ADMIRAL CL,Intl bonds,1.0
HW TIPS FUND,U.S. bonds,1.0
HW BOND FUND,U.S. bonds,1.0
